,passenger_count,year,month,day,dayofweek,hour,minute,second,distance
9253,1,2013,11,12,1,6,26,0,1.7963243581393027
9478,1,2011,12,20,1,7,14,59,3.518333625247426
13687,5,2010,9,19,6,20,27,0,3.333917342420882
8775,1,2010,9,30,3,21,20,0,1.9499296352989182
10412,1,2012,7,31,1,0,9,32,1.1164661349969671
3111,2,2009,7,23,3,21,41,25,0.6138453106933196
10899,1,2011,10,6,3,5,49,0,0.45926286095995766
4550,1,2014,7,16,2,22,49,0,1.018076180656122
10463,1,2013,2,7,3,21,23,0,4.418010543093959
7456,1,2014,10,17,4,9,20,0,1.02126924340695
4032,2,2014,7,9,2,22,49,0,1.2607195283747068
4191,1,2012,1,30,0,2,8,0,3.1380869032797523
2144,1,2010,7,2,4,16,29,51,1.0708254587102837
1533,5,2012,1,17,1,13,23,0,2.024716119981254
7202,3,2012,12,29,5,14,3,0,1.7708111841362058
1888,1,2009,5,29,4,20,53,34,1.750857372577099
12121,5,2013,7,16,1,11,26,0,1.9244592410547814
8029,1,2014,2,13,3,20,40,40,0.9518611560648071
10494,1,2012,3,2,4,20,49,18,2.016687129527913
1996,1,2009,6,8,0,22,2,0,0.97073988032533
8941,1,2010,4,13,1,13,33,0,0.39750307875840263
3912,1,2012,9,7,4,9,38,26,0.32842465423660455
12620,1,2013,5,21,1,21,35,33,0.8382996593645475
1963,1,2011,4,28,3,15,21,27,5.424395949023736
14671,1,2011,10,19,2,23,33,40,0.840084702888205
2749,1,2011,5,5,3,18,14,0,0.5243926909601957
7020,1,2009,9,11,4,18,10,4,0.21110953642551758
4301,1,2010,10,18,0,10,36,22,3.6515431728082417
4956,1,2015,5,15,4,14,48,4,0.9873990353011808
5219,1,2010,10,9,5,0,57,17,2.3245905832479665
10747,1,2011,10,25,1,12,48,0,2.610932851554375
10695,1,2015,3,14,5,18,2,54,3.020175153533186
6452,1,2009,3,4,2,13,54,26,0.9134327154470463
15276,1,2011,6,24,4,20,24,16,1.211101803002762
4417,2,2012,4,22,6,9,49,0,1.2550887364039
11932,1,2010,5,15,5,16,13,24,6.179189995728971
3113,1,2012,4,27,4,2,5,21,1.2397125069586963
11818,5,2012,4,26,3,7,27,0,0.6289190927940587
1161,5,2011,12,3,5,21,16,0,1.1671959062460466
6804,3,2009,10,10,5,22,32,27,1.2140408157660425
12050,2,2010,3,18,3,17,23,7,3.319322589501335
9885,2,2009,10,30,4,20,42,12,0.8642653967228063
148,1,2014,10,25,5,21,24,0,4.050532345747613
10941,1,2013,4,4,3,11,59,0,1.2479797240800325
15773,1,2014,5,8,3,21,5,16,1.7372838518069509
12024,1,2012,4,21,5,12,49,0,0.2663621769018534
9840,1,2014,4,3,3,13,50,0,1.8808477987106318
10185,1,2009,2,26,3,15,36,0,2.481618708262888
9164,1,2012,12,19,2,21,54,48,1.406021546078363
15267,1,2010,12,7,1,13,31,0,3.100115671836046
2187,1,2015,6,15,0,20,22,59,1.405785147176478
12839,1,2009,6,13,5,23,12,35,2.7010621769866736
11389,1,2011,5,15,6,0,25,0,3.3806337071528403
11551,1,2012,3,27,1,21,29,48,1.425639476224525
3260,1,2010,8,14,5,1,23,0,1.7816111763495421
656,1,2014,4,7,0,7,41,50,3.8172720252352876
9910,5,2015,5,15,4,0,59,29,3.2519344182520125
2249,1,2014,1,1,2,1,11,21,1.3527440106049002
6059,1,2010,3,24,2,21,5,57,2.193220552340461
15585,1,2013,1,11,4,12,28,0,0.9118034455236886
11713,1,2015,1,24,5,18,29,43,1.1074831770374534
15870,1,2013,11,1,4,7,16,10,2.58602007589261
9237,1,2012,7,30,0,12,0,0,0.31363983197445855
1490,1,2012,6,3,6,15,11,24,1.554797188324556
6591,1,2010,7,28,2,20,10,13,2.3157542433848213
5351,5,2014,9,20,5,19,16,0,1.1463755568515896
8990,2,2011,9,4,6,19,21,49,1.5851164623922513
154,2,2009,7,16,3,20,33,0,3.219999679474259
1207,1,2013,6,6,3,20,24,0,4.936797184791551
11013,2,2009,2,6,4,12,33,0,1.918687665137071
13426,1,2013,1,27,6,22,19,0,2.053609756885379
13125,1,2009,6,12,4,9,15,53,1.2305601012552596
11991,3,2009,8,1,5,20,11,0,0.8402211566475928
10768,1,2009,2,17,1,21,10,1,2.078087137058717
10198,1,2011,5,5,3,19,34,1,0.5645152987834311
15746,1,2009,10,14,2,9,49,24,0.606573672573882
214,1,2013,3,17,6,12,56,58,2.806394890986205
11983,1,2011,2,11,4,20,55,0,1.7368605884733173
13597,2,2012,8,3,4,10,29,33,4.086940326480989
8687,1,2009,2,13,4,15,10,0,1.713305510124721
7032,2,2013,6,29,5,18,15,34,5.411123298415407
15486,1,2012,6,4,0,23,19,36,0.8037764358377231
12075,3,2011,10,22,5,15,17,43,6.520623180227819
8213,1,2009,6,6,5,17,45,0,1.4331462516346098
6439,1,2014,5,10,5,5,33,0,2.088456193991129
7886,2,2010,3,14,6,13,20,14,1.5042914422014446
3991,1,2013,2,15,4,8,57,0,1.2713224089831965
6263,1,2013,5,12,6,13,43,0,1.4031687412292413
16050,1,2013,1,23,2,7,36,49,1.1738089311025486
14132,1,2012,6,19,1,0,29,54,0.431617919243587
8989,1,2010,9,30,3,18,3,30,0.3020233945108199
11017,1,2012,11,26,0,18,34,51,3.4454734473364286
9055,1,2012,11,16,4,15,29,10,2.2404290773958473
12151,5,2011,1,14,4,16,0,0,0.6382206260210408
6831,1,2010,1,18,0,17,50,0,2.894864816667389
1466,1,2011,9,16,4,7,13,39,0.42580013556280527
2391,1,2011,5,29,6,1,2,0,1.2929308692267565
12476,1,2010,4,13,1,21,25,15,0.7319941423352929
13307,2,2015,6,6,5,0,15,31,0.6526676097157199
3231,3,2015,2,20,4,6,8,40,1.3484091220460983
4972,1,2015,2,9,0,7,33,57,1.840457506098353
9011,1,2013,7,14,6,1,23,3,1.3538711464482445
3230,1,2013,5,17,4,19,23,0,6.808898096883891
7201,5,2010,9,23,3,6,22,0,0.3745496970108028
1743,2,2012,12,22,5,21,50,32,0.8191669598978745
2609,5,2009,1,6,1,18,31,0,2.8142054572661133
15621,1,2014,5,11,6,15,29,0,1.1002492647620572
7169,1,2012,11,17,5,19,20,7,1.1407257588787794
4316,5,2014,7,7,0,18,46,0,1.0239525228392117
2641,1,2011,8,3,2,1,26,5,3.777108241744767
6401,1,2013,1,8,1,4,14,0,4.0412756986967056
13846,1,2013,3,25,0,6,58,14,0.6026944271959258
1083,1,2012,3,2,4,16,47,0,0.31575806907076737
15076,1,2011,1,9,6,12,36,0,0.8017672612889757
10942,3,2014,6,9,0,7,31,0,1.2734686657294993
1801,3,2014,4,3,3,15,0,0,2.1056500292771574
3681,1,2009,12,4,4,20,21,0,3.156898578621449
8503,1,2014,12,21,6,20,28,18,5.280101034077732
8826,2,2014,6,17,1,17,43,0,0.737519526419841
15532,1,2012,7,8,6,18,2,0,1.1853344438478715
4125,1,2013,3,3,6,18,41,0,0.44796440021296435
6468,1,2015,2,27,4,0,44,26,1.1769593241205298
10657,6,2014,11,29,5,18,11,0,1.711608295583454
190,1,2012,9,8,5,0,49,20,1.0283104199232704
15739,3,2013,7,10,2,8,52,43,0.5382290387722524
12845,1,2014,2,21,4,11,40,0,0.9836149638463536
3486,1,2014,10,21,1,0,45,29,4.099094364813558
6561,1,2009,9,25,4,17,48,12,0.9902822664610169
5489,1,2015,6,18,3,8,38,33,1.772792134892467
11836,1,2010,1,12,1,21,0,5,2.786155769675178
4530,2,2012,5,2,2,11,44,41,2.9479671299645336
16039,5,2010,12,11,5,16,25,0,1.2306505244177617
15819,1,2015,4,9,3,19,17,16,2.017458332386774
1294,1,2014,7,1,1,6,21,23,0.5096937000780144
6673,2,2013,11,29,4,7,58,0,0.7553901498157057
11092,4,2011,10,24,0,9,47,0,1.591699762097275
7033,1,2014,6,15,6,19,48,0,2.3013540455193575
7037,1,2011,11,4,4,8,25,4,1.862037556004148
10175,1,2011,4,20,2,16,26,53,1.7483180596458199
2209,1,2009,3,17,1,9,15,7,4.1246344693900205
9617,2,2012,4,6,4,15,53,0,0.5174880669632602
9334,2,2010,1,3,6,21,33,0,1.9148788536067027
8412,1,2015,2,10,1,19,52,28,2.7742167895944707
1302,2,2014,10,24,4,20,43,59,0.4211557313578738
1882,2,2013,3,31,6,22,5,22,1.8528910474379003
3163,1,2010,6,16,2,21,29,0,0.7816899925483867
4895,2,2010,9,21,1,16,49,0,1.6601623537451011
8222,1,2014,3,28,4,15,9,0,2.391894207946474
14059,1,2012,7,21,5,11,22,0,0.8668847293174599
11511,1,2011,10,31,0,14,39,7,1.1173447813264592
3924,1,2014,5,4,6,8,35,0,0.5380418951826307
12860,1,2013,4,17,2,18,16,28,1.963120136126383
6318,1,2009,10,11,6,3,23,53,6.087788913103936
5841,1,2012,7,9,0,20,40,15,1.3159912126837627
12863,1,2011,12,21,2,16,40,47,1.1602634855316438
11663,1,2011,4,21,3,20,46,20,1.1772152164805745
11258,5,2013,6,28,4,3,10,0,3.087828318594526
5379,1,2011,9,5,0,18,54,34,2.0687471820960583
1986,1,2009,10,17,5,20,4,29,0.32392000085917866
10232,1,2011,6,19,6,14,28,0,0.8112474426985365
658,1,2013,4,17,2,18,27,15,3.2552150691322974
8871,1,2013,10,31,3,8,19,0,0.9644846716820556
6246,1,2009,3,20,4,21,38,2,1.2576707917039234
1566,2,2013,5,8,2,3,32,15,1.2297528106423057
6403,5,2015,5,30,5,10,42,33,1.3970869039274671
2074,1,2012,3,13,1,18,7,15,2.0188691524335907
6344,2,2010,3,10,2,14,9,0,1.184551882938745
4637,1,2009,8,24,0,22,30,38,0.41972676207767373
9875,1,2012,8,8,2,3,58,25,0.9042543016451676
15200,1,2010,8,15,6,5,56,25,9.394525693831447
6086,1,2011,2,1,1,17,53,0,2.304318802719991
2821,1,2009,11,4,2,15,44,0,0.39247308221291843
9278,5,2013,2,26,1,23,46,0,3.0647239788681353
6456,1,2012,6,13,2,10,13,2,0.8410205804340486
5188,2,2009,8,14,4,23,44,39,7.126151469647254
12982,1,2012,3,17,5,19,29,11,1.17061788656838
12480,1,2009,1,23,4,8,54,37,2.2820476671658048
14058,1,2010,9,28,1,8,29,25,2.4345470961219355
9228,3,2012,2,11,5,9,43,9,0.6897237637598445
816,1,2014,2,16,6,9,5,34,2.7620497968056377
6651,1,2015,5,29,4,17,53,49,0.7110416422300075
7538,1,2009,10,14,2,18,24,0,3.3817607238458685
12092,5,2009,5,7,3,21,54,0,1.3255895889047955
6345,2,2010,10,23,5,23,55,23,1.6238870722471022
6119,2,2014,8,22,4,22,44,31,4.080661731995785
548,1,2013,1,22,1,23,26,29,0.43405421273696526
13662,1,2013,10,2,2,14,42,0,2.735091776173754
14549,1,2011,11,23,2,15,48,10,1.3885327728803138
2119,5,2013,5,17,4,13,44,0,2.4538683802195074
3333,1,2012,6,7,3,17,6,39,0.7276509351645905
211,1,2013,9,7,5,22,29,0,4.117250257553549
6203,1,2010,10,31,6,13,9,0,2.281529457657309
6320,1,2012,4,26,3,6,5,12,1.2155422005378584
5929,1,2013,6,1,5,14,55,0,1.3555216381825197
5471,5,2014,11,8,5,18,44,0,3.0344744980403235
1626,1,2010,6,15,1,21,55,0,1.1479586052958994
1030,1,2010,7,21,2,18,55,0,0.7907996880098932
11823,1,2011,9,10,5,16,42,56,2.2049084710450053
10234,1,2012,7,26,3,16,18,58,0.9233147075801768
11152,3,2015,2,20,4,12,10,55,4.229811244545385
9748,1,2014,5,19,0,14,59,0,2.891597296009699
6257,1,2014,10,7,1,3,44,57,0.9418023529073136
7363,2,2009,12,2,2,22,27,0,0.9825643130123545
2696,6,2013,3,15,4,0,29,0,1.3187670403667593
11483,2,2013,5,13,0,21,17,8,1.7120425817792881
9645,1,2013,1,26,5,0,52,40,4.082928105037892
11213,5,2010,5,27,3,6,57,0,3.5759381969693695
4415,2,2013,1,18,4,19,17,0,4.12644588937271
3238,5,2009,8,24,0,23,48,0,1.1231167239486248
2646,6,2012,5,19,5,1,17,0,7.231191234554466
8175,5,2009,4,22,2,22,8,0,1.5010987384023062
4792,5,2012,2,4,5,22,13,0,1.1350240758061692
2235,2,2013,7,10,2,9,32,0,1.869602840824465
15197,1,2011,2,14,0,14,8,49,7.06470858184086
7673,1,2015,4,4,5,16,50,43,0.5885900818588029
181,1,2009,9,7,0,18,52,0,1.7504457833760751
3215,1,2015,5,27,2,7,20,56,2.2141718620684556
13934,1,2015,6,9,1,8,45,3,4.27289326472684
5948,4,2010,7,8,3,23,22,1,0.781735765552816
3928,1,2014,10,10,4,9,6,0,1.843955928406032
6331,1,2010,8,30,0,22,47,0,2.334795656859455
3865,1,2009,6,23,1,16,14,56,0.5540921168992033
12195,3,2013,9,12,3,7,46,0,1.2232889467265375
138,1,2013,5,20,0,11,3,50,1.109776647675048
1611,5,2012,7,20,4,17,27,0,1.6940794852870529
13723,1,2011,7,29,4,20,44,48,3.9967999552087097
802,1,2010,4,27,1,20,20,0,1.4951809123283226
3027,1,2012,7,3,1,7,42,0,0.7634529397677374
5102,5,2009,3,28,5,1,28,0,6.021102266089068
5565,1,2014,3,26,2,9,37,27,1.5071089311225052
5117,1,2011,10,19,2,21,46,0,1.35404273867103
12040,2,2009,5,21,3,13,25,26,1.1905764539099222
3396,1,2011,1,15,5,22,51,5,1.838387201344049
12570,1,2010,5,22,5,1,5,43,1.9815719023758487
11830,1,2012,7,21,5,23,42,0,2.0317803300100112
3959,5,2011,12,8,3,8,17,0,0.7270269365880407
11503,1,2012,7,30,0,16,44,25,1.3661326964882805
529,1,2014,9,22,0,11,58,0,1.1253509609047079
245,1,2009,1,23,4,7,28,0,2.174428272875475
12743,1,2009,12,13,6,16,33,0,0.5447305408158629
2350,1,2009,7,9,3,19,52,38,1.9984297625920102
3628,2,2015,1,3,5,15,53,55,1.484544751461628
13621,4,2014,5,4,6,13,28,11,3.870813463893983
14068,2,2014,4,2,2,19,22,0,1.1646835902009944
4767,1,2013,10,11,4,20,11,0,3.394708860781867
2998,1,2012,7,24,1,23,17,46,2.640983706743663
2330,1,2010,7,9,4,20,0,28,2.9173363254931934
11077,1,2010,4,6,1,10,7,26,0.8848740011021053
12422,1,2011,12,10,5,4,4,0,0.8457238043264297
9911,5,2009,4,1,2,23,28,0,0.5456315922150659
6370,2,2010,5,24,0,16,43,0,0.4574523960410535
4306,1,2014,7,11,4,21,16,51,1.4990930915746934
13146,1,2011,6,25,5,18,4,0,2.9570814944038566
8078,1,2013,3,29,4,8,17,20,0.9738792467829875
7175,1,2015,2,10,1,19,59,48,0.8575223477645963
10221,1,2010,9,25,5,16,5,0,1.573267453216287
13698,4,2011,8,24,2,19,7,0,0.27919451465879513
12958,1,2015,3,21,5,12,13,43,1.4723607493899358
5333,3,2013,12,18,2,14,21,53,2.1358101525439745
14951,1,2010,1,11,0,13,55,0,0.29176707180451994
6137,1,2012,6,14,3,16,52,1,0.6148054110497057
14675,2,2009,9,19,5,17,9,24,1.4150042304478807
3831,1,2014,4,19,5,20,48,49,0.7758414437117497
11180,1,2012,8,11,5,22,24,39,2.2576118427556664
1491,2,2014,5,9,4,22,11,0,2.306494663331496
14082,1,2014,9,23,1,13,55,29,1.6276088155525321
2823,1,2010,12,8,2,10,38,0,1.491018671125168
391,5,2014,2,1,5,21,6,0,3.9328919994067317
6194,3,2012,4,21,5,11,47,26,1.496104857326851
6386,2,2011,5,3,1,20,19,0,2.958241508847335
7451,5,2009,6,15,0,17,16,0,0.9835135409285367
2301,1,2012,8,29,2,10,49,5,1.2123172657668324
9744,1,2009,10,15,3,14,22,24,1.5197776349269576
916,1,2013,10,6,6,4,24,9,1.804777000429492
12405,1,2014,4,17,3,7,53,0,2.3522139974464706
2930,5,2014,7,22,1,18,35,0,2.9650210651493136
5537,5,2011,5,18,2,3,31,0,2.0980833341029497
3324,1,2013,10,27,6,13,34,37,1.6826827375575997
6334,1,2012,9,18,1,15,31,2,1.0490240559809136
9049,1,2011,7,9,5,3,23,0,0.9043704714284487
15569,2,2009,12,16,2,21,2,0,1.6544754608928167
1484,2,2009,12,24,3,23,5,39,2.1127993715992512
3214,1,2015,1,18,6,14,45,21,1.2825282344471436
7977,2,2010,3,25,3,18,44,4,0.6793359267302042
3600,1,2011,5,18,2,11,56,27,0.46449752934948935
6279,1,2009,10,2,4,16,50,0,0.2458685629957033
4362,1,2014,9,1,0,20,56,43,0.8774614284721929
6503,1,2013,10,17,3,19,2,0,0.2778741018403877
15272,2,2010,6,30,2,8,13,0,2.410066582504565
6643,2,2009,2,14,5,19,29,0,2.0017900630732504
6171,5,2009,3,12,3,21,3,0,7.706021657078009
14072,1,2010,12,21,1,20,56,0,1.8812472715048418
8873,1,2014,12,20,5,19,9,0,1.2342473669555494
2405,1,2010,7,17,5,8,29,56,0.6924148583239066
155,1,2011,5,16,0,13,10,38,1.977074370144452
2697,2,2011,3,3,3,20,22,23,0.5151497559931536
15210,1,2010,5,25,1,0,19,0,2.6082020535572963
7146,1,2014,10,18,5,19,12,12,0.7031003635422546
4059,1,2013,12,30,0,8,36,0,2.713849787603276
12900,1,2011,9,14,2,18,2,56,1.485037270170872
13602,2,2012,11,17,5,14,14,0,3.1067515140460515
13054,1,2010,2,8,0,21,4,29,4.836983866852408
12114,3,2014,7,19,5,13,47,48,0.7012855450751815
9787,3,2014,2,4,1,13,31,0,0.4832284302326596
696,1,2010,4,15,3,21,12,39,0.5182695275589213
4320,1,2009,7,10,4,11,34,34,0.7599002379683204
12898,1,2009,5,30,5,11,14,0,0.4044979302785981
15160,1,2010,3,19,4,20,10,57,0.6444746246787152
10583,1,2012,7,10,1,19,26,0,1.787599817607828
6069,1,2010,10,16,5,23,55,0,1.887169759383225
14044,6,2013,1,21,0,17,56,0,2.8774945618296903
7725,1,2009,2,9,0,10,12,53,0.8461908738067611
1565,5,2013,3,1,4,21,23,0,2.20313750696358
5121,1,2011,6,27,0,7,28,42,1.2488220834454076
4878,2,2011,10,24,0,22,58,28,0.7848438402444202
2121,1,2009,3,7,5,1,41,0,6.1378083839941935
12222,2,2011,10,8,5,23,6,31,1.3689737692967527
3885,1,2014,12,8,0,2,43,0,4.550985466823962
1467,1,2012,4,17,1,8,56,10,0.5541445655151221
11067,2,2010,1,9,5,13,23,1,1.6930985473897646
9150,5,2012,12,2,6,18,11,0,1.404939549279318
15931,2,2013,5,10,4,1,30,41,2.46421233338784
5029,4,2014,12,21,6,10,32,2,0.45235948769983925
7690,2,2012,5,16,2,6,15,0,2.747966556212171
7291,1,2015,4,13,0,8,8,3,1.3882151217093386
6268,1,2010,3,10,2,22,42,0,4.4733979865577895
4062,1,2012,5,22,1,18,39,11,1.3452621802061144
1237,1,2014,10,24,4,12,21,12,0.2916089060172578
12410,1,2015,6,11,3,5,11,28,1.0138162908510138
15548,1,2012,11,22,3,19,3,0,1.163175610594585
11694,2,2014,12,21,6,13,2,0,1.845647454958273
2650,1,2009,8,13,3,8,26,3,0.9458353061333852
15005,1,2009,7,19,6,0,27,1,1.6047464084317338
2791,1,2010,5,4,1,8,23,29,1.1979518866895644
15987,2,2012,2,5,6,1,4,0,3.376719895666225
6324,2,2015,1,12,0,15,23,29,0.7664916844299964
12467,1,2012,8,29,2,21,1,0,1.2693904333323658
681,1,2014,4,21,0,13,33,3,1.514441611520325
3120,1,2010,8,26,3,23,16,40,1.0013963252489568
11398,1,2015,4,17,4,11,33,45,0.5664131549818577
9577,1,2011,1,14,4,22,40,0,2.370835757662109
4578,1,2011,2,22,1,9,20,0,1.2103937978257462
7966,1,2010,11,17,2,17,6,9,8.30961250034649
9487,1,2009,4,28,1,13,17,48,0.8939889336915767
11504,1,2013,5,23,3,12,51,26,0.17627876005087253
8595,1,2014,2,6,3,14,0,49,0.7824069916061159
4317,1,2010,5,3,0,18,47,34,1.144400104992341
2571,5,2014,2,13,3,19,39,0,0.49368899725740845
12260,1,2009,7,15,2,14,8,5,1.7435665223703471
10106,1,2013,10,4,4,18,41,0,3.278059955748502
14363,1,2010,4,17,5,20,47,0,0.5180643933185952
23,1,2010,12,6,0,12,29,0,0.8736003656366359
7199,1,2011,8,24,2,0,14,0,7.0357464572680595
6534,1,2012,12,29,5,18,56,34,1.728417415091643
13607,1,2014,9,28,6,22,48,45,1.3066725088954854
7530,2,2011,2,13,6,20,36,0,1.8450849631215414
14540,5,2009,10,12,0,18,19,0,0.6724585387206687
10727,1,2013,12,9,0,7,55,36,0.740862452757357
7119,4,2014,11,14,4,18,16,0,0.9148776026605755
2903,1,2012,6,20,2,20,45,0,0.553951226303841
2744,6,2014,12,12,4,18,19,0,0.8353556440884166
13417,2,2011,9,22,3,18,7,32,1.5032000939757848
6571,1,2010,7,10,5,0,27,0,4.866421611163856
12288,2,2014,11,13,3,22,8,50,6.602408004835123
10547,1,2010,1,13,2,7,0,0,5.786482037826904
14206,1,2010,1,29,4,16,45,0,1.4090353358072718
6191,5,2013,10,6,6,23,59,0,1.3472227188522958
4674,1,2012,2,1,2,12,32,0,8.877608683204368
3147,1,2012,10,17,2,12,54,57,0.8813243283502056
11771,3,2012,3,23,4,13,5,19,1.4480189348428292
2033,1,2011,5,12,3,23,31,49,3.108820645632932
4040,1,2012,6,5,1,7,58,52,1.074081247866372
3768,1,2012,3,30,4,9,56,16,0.5787911593742248
7309,2,2013,1,8,1,13,19,40,1.1364962258050582
6820,5,2014,10,13,0,22,26,0,6.244077032758266
10955,1,2013,12,2,0,22,39,0,0.6336826781046029
1815,1,2010,4,20,1,17,2,0,2.0640918070193846
8108,1,2009,9,15,1,6,42,13,1.8959181492187438
13233,1,2012,12,16,6,13,1,0,0.8724524300245609
5275,1,2011,2,28,0,6,17,5,4.438058375979337
13799,1,2009,12,13,6,23,38,0,2.204920721588784
778,1,2011,2,7,0,8,39,21,1.589393190328631
15567,1,2009,10,5,0,9,11,0,0.6827737732046383
10189,1,2014,1,21,1,0,16,22,2.1766831392062036
6743,6,2011,6,13,0,9,24,0,0.8486188254122371
549,1,2014,6,1,6,2,24,0,0.27389288351135815
8350,1,2009,6,9,1,16,2,0,0.8489089476881182
2741,1,2013,6,18,1,9,37,44,2.9216248530217213
767,3,2011,9,10,5,23,51,43,1.175799842542303
8294,1,2014,2,22,5,8,44,9,1.385935139229781
4752,3,2012,5,18,4,13,54,42,12.513344507948457
4117,1,2014,5,23,4,17,43,57,0.9379489702926114
12585,5,2010,9,2,3,17,49,0,2.9036519932487317
15492,1,2013,10,31,3,21,14,0,0.7098793164880197
10201,1,2013,10,2,2,20,54,45,5.929580574763103
14494,1,2010,2,26,4,9,47,24,0.8757980604635418
8651,1,2010,7,3,5,9,0,21,2.353883259430641
4612,1,2009,5,11,0,18,29,5,0.7093957253066551
10419,1,2014,5,8,3,16,5,37,1.478912772430869
15556,1,2015,3,6,4,15,23,50,0.4090719231734935
4072,2,2013,2,8,4,0,21,48,0.6989199311834456
15610,1,2010,6,21,0,23,34,10,1.0027724788459451
8897,1,2010,1,8,4,19,8,15,2.0229940232073083
8014,1,2011,7,19,1,10,20,0,0.6011399619168779
13925,2,2015,5,30,5,13,10,43,1.4101823724286744
254,1,2011,5,2,0,12,44,59,2.8745281734970325
14649,1,2010,11,20,5,13,44,0,1.0530240307404706
4646,1,2014,5,13,1,10,3,44,1.3738340480047808
2372,5,2009,4,7,1,12,28,0,0.9116633686403981
6108,5,2010,7,29,3,12,36,0,1.2911653658925473
9347,1,2009,6,4,3,1,39,0,2.4536434966628553
14797,1,2009,5,4,0,17,28,0,1.2928618827619238
2717,1,2009,6,26,4,23,2,0,1.2092917930137568
7336,1,2011,4,7,3,23,13,5,0.9109002945456288
15138,1,2012,4,25,2,21,45,0,2.100439537315561
12718,1,2015,2,8,6,15,37,14,1.13657781093594
2857,1,2011,6,7,1,13,50,0,1.5358380342715807
6593,1,2013,2,9,5,4,0,11,3.8685082281219425
6827,1,2013,6,6,3,19,37,30,3.9416488908714413
15017,1,2011,2,16,2,2,16,0,0.7447872346150067
1767,1,2009,2,2,0,14,7,27,1.3425965572628298
2919,1,2012,4,16,0,2,51,7,1.444332738898956
6833,1,2011,5,21,5,21,21,55,0.8287852895399827
10168,1,2014,9,30,1,12,15,17,1.3659621435482436
12301,1,2010,4,3,5,22,28,0,0.7633136080076544
9286,1,2012,4,15,6,17,27,0,1.0620318885333369
1432,2,2012,4,4,2,22,23,27,5.279197761397426
1875,1,2011,10,17,0,20,10,9,1.3448000526682302
4361,2,2014,1,10,4,20,46,21,2.09173198609112
5708,1,2013,9,10,1,17,58,0,0.560672758023018
8194,2,2011,10,6,3,20,49,0,1.1735050305110566
12013,1,2015,4,15,2,19,30,35,0.5644360904239546
1576,3,2013,1,26,5,23,19,0,0.60695602363853
4312,5,2013,12,17,1,6,19,0,0.35289125154495116
